"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104835",13.1725486982811,-0.183477648966217,0.486531202999112,-0.377113837376123,0.706089008354384,0.789974933965453
"ENSG00000100075",1257.6570570623,-0.0241501017380647,0.0641083081833608,-0.37670783120639,0.706390742437145,0.790252524824552
"ENSG00000204172",27.8084774165839,0.12781871947007,0.33960793511558,0.376371416134812,0.706640793045016,0.790472258663943
"ENSG00000243716",28.3261480039972,-0.125612654650978,0.333877153427962,-0.376224169163105,0.706750248743667,0.790534696871901
"ENSG00000196792",818.754333549218,0.026803651703985,0.0713406830389405,0.375713415714769,0.707129963130594,0.790899400213911
"ENSG00000173200",1.02321605781335,0.684225491665524,1.8227335840479,0.37538425673049,0.707374711605026,0.791113105147584
"ENSG00000127989",128.822167522542,-0.0598470301444577,0.159524215123837,-0.375159533604345,0.707541823437174,0.791231293688515
"ENSG00000089723",76.2779666502388,0.0767946713552951,0.204732417978934,0.3750977598633,0.707587762981044,0.791231293688515
"ENSG00000168970",10.5144335579174,-0.204313435079891,0.545809968577373,-0.374330713695874,0.708158284129372,0.791753041776698
"ENSG00000102910",1728.35201885874,-0.0200836381918327,0.0536528021296881,-0.374325988478422,0.708161799206163,0.791753041776698
"ENSG00000099338",1.47612834550832,-0.543196198254461,1.45206563466839,-0.374085155164844,0.708340962704876,0.791857470765164
"ENSG00000025708",22.7488100611872,0.14141330389774,0.378053841471091,0.374055989875595,0.708362660779477,0.791857470765164
"ENSG00000120910",290.404559053623,0.0415209053888755,0.111160500003507,0.373522117906681,0.708759886847849,0.792241426800424
"ENSG00000160255",1.38719396979046,0.57763709191486,1.54776571977998,0.373207058751097,0.708994342980449,0.792443396545265
"ENSG00000148408",2.24636547568822,-0.491711981682612,1.31779125077471,-0.373133439301211,0.709049132004638,0.792444536853292
"ENSG00000168038",41.0846936898309,-0.102608430256989,0.275420192220771,-0.372552315172085,0.709481668675586,0.792867821727387
"ENSG00000166716",667.467384639405,0.0285293593009088,0.076593597966595,0.372477074563744,0.709537677885387,0.792870293174224
"ENSG00000148341",509.702496231362,-0.0330480880624237,0.0887556826326705,-0.372348981858418,0.709633033877852,0.792916728831826
"ENSG00000099769",0.791832686038318,-0.744535229005588,2.00198691670028,-0.371898149181088,0.709968683200721,0.793231631643714
"ENSG00000126003",447.3402967009,0.0331138515204515,0.0890629163890662,0.371802910380742,0.710039596618445,0.793250725815846
"ENSG00000068383",661.424937566761,0.0287019425641258,0.0773440378418717,0.371094441989263,0.71056719060057,0.793779978403032
"ENSG00000144677",691.012729139006,0.0273995760973505,0.0738767752218136,0.370882134677424,0.710725322153469,0.793896452773823
"ENSG00000164338",257.357289639674,0.0429442146135855,0.115880847035408,0.370589408968195,0.71094337166685,0.794079834151272
"ENSG00000106013",1.29363482100653,-0.609696419920098,1.64575424939479,-0.370466258947413,0.711035112401974,0.794108457127728
"ENSG00000095464",1.89250528362273,-0.472887234534763,1.27665771579395,-0.370410352504449,0.711076761345815,0.794108457127728
"ENSG00000122545",3442.09281449706,-0.0180519422004811,0.04875442398912,-0.370262649488168,0.711186800659116,0.794171167458255
"ENSG00000115137",72.9440242075896,0.0762082627620084,0.206167003476668,0.369643354546951,0.711648243255376,0.794603544206187
"ENSG00000117262",76.8161319712257,-0.075190971607079,0.203439719270932,-0.369598286296015,0.711681828166757,0.794603544206187
"ENSG00000124251",15.2739916281333,0.179102173736131,0.486154131573254,0.368406153736746,0.712570409626663,0.795428514201631
"ENSG00000186777",0.822798141264958,-0.72921664218805,1.97941253344107,-0.36840053797192,0.71257459638147,0.795428514201631
"ENSG00000181625",1.49537258062218,-0.519898894676025,1.41145657024145,-0.368342112422976,0.712618155244946,0.795428514201631
"ENSG00000119965",235.293981814954,-0.0450547956376684,0.12232600942648,-0.368317382778247,0.712636592585041,0.795428514201631
"ENSG00000137876",1059.44283999697,0.0240145704406129,0.065237333712479,0.368110851164649,0.712790580068215,0.795515849992827
"ENSG00000101181",344.079031155952,0.0379104156182079,0.102998499608712,0.368067649162157,0.712822792441666,0.795515849992827
"ENSG00000279342",2.56376318981233,0.409036911660676,1.11163220167105,0.367960653753819,0.712902572801749,0.795544644351645
"ENSG00000099377",42.8507804886462,0.102137291630848,0.277715518379873,0.367776681068069,0.713039758060701,0.795633900023845
"ENSG00000165195",101.806256569259,0.0651444381518087,0.17716321581273,0.367708600529522,0.713090526897474,0.795633900023845
"ENSG00000188582",0.870507789767864,0.747477066707616,2.03347133073536,0.367586724931749,0.713181414815648,0.795675071275778
"ENSG00000213123",10.1306170476518,-0.208353752631478,0.568164927435269,-0.366713506185606,0.71383273093123,0.796341441863937
"ENSG00000131508",1335.72356270901,-0.0220399454903319,0.0601802999382274,-0.36623189836134,0.714192041697592,0.796681979302082
"ENSG00000243710",3.27927209286566,-0.36529596351022,0.998000588982299,-0.366027803533389,0.714344328841092,0.796791547601605
"ENSG00000236279",1.27500152282173,0.571535458709937,1.5624252958073,0.365800182731057,0.714514183515838,0.796920692951145
"ENSG00000168255",35.9721884597705,-0.108557916862514,0.297117857781189,-0.365369882756967,0.714835319613079,0.797218535032732
"ENSG00000139546",440.68424763325,0.0336629188725864,0.092220596056497,0.365026038781657,0.715091969246877,0.797432375085587
"ENSG00000004399",2346.31574973655,-0.0194490911537006,0.053289849891044,-0.364968022868634,0.715135276259072,0.797432375085587
"ENSG00000243989",3.7610096326224,0.349617713665283,0.959331808255002,0.364438779843262,0.715530381468873,0.797810174022067
"ENSG00000144504",55.6680687168671,-0.0883838870662989,0.242566861656308,-0.364369174184765,0.715582351092258,0.797810174022067
"ENSG00000181704",775.290879328334,0.0257507359489859,0.0709263724039091,0.363062921114045,0.716557882123839,0.798837372673308
"ENSG00000111845",326.968438136006,-0.0374094660407733,0.103086325941006,-0.362894551719518,0.716683656823361,0.798896777057149
"ENSG00000198455",286.927177991814,-0.0396191946643779,0.109189970622922,-0.362846463263548,0.716719581099853,0.798896777057149
"ENSG00000155275",120.922216123373,-0.0588122970877184,0.162488598603057,-0.361947223333441,0.717391469843308,0.799585228960952
"ENSG00000278198",0.882558197455566,-0.737265409574519,2.0376766586313,-0.36181668296173,0.717489024413277,0.79959239154746
"ENSG00000104886",746.888887748798,0.0267736979967792,0.0740027207067549,0.361793427877785,0.717506403732878,0.79959239154746
"ENSG00000233608",302.075212291033,0.0389579441994849,0.107735537976929,0.361607181168275,0.717645597543223,0.799687041931954
"ENSG00000089101",1.26015084240817,0.590555284585993,1.63354682133425,0.361517207142945,0.717712844116229,0.799701511800483
"ENSG00000118640",4.64880353630965,-0.301263350299906,0.833687685697411,-0.361362360831668,0.717828581347355,0.799737436537974
"ENSG00000174951",2.09198638556678,0.446564567593489,1.23589505957151,0.361328871844763,0.717853612970611,0.799737436537974
"ENSG00000203952",1.15799993381223,-0.610411274757493,1.69162469556308,-0.360843203790135,0.718216663654961,0.800020949961969
"ENSG00000183773",1.15799993381223,-0.610411274757493,1.69162469556308,-0.360843203790135,0.718216663654961,0.800020949961969
"ENSG00000104897",653.393915971071,0.0288047637021287,0.0799456360909139,0.360304390715862,0.718619516205315,0.800409192097485
"ENSG00000153283",3.3384156661263,0.378322571265251,1.05030858489561,0.360201351018047,0.718696564460104,0.800434517268421
"ENSG00000100036",243.142689208565,0.0438501529021775,0.121769246534779,0.360108600077881,0.71876592170999,0.800451273550085
"ENSG00000197497",19.9592813851551,0.145062167149651,0.403772298400257,0.35926725960247,0.719395164604653,0.801059690325589
"ENSG00000172785",159.854077922682,-0.0519241917213952,0.14454190914061,-0.359232779130401,0.71942095678854,0.801059690325589
"ENSG00000129214",8.33372531256893,-0.21712989658172,0.604566796632431,-0.359149555998082,0.719483210916237,0.801068487004873
"ENSG00000004779",645.721020614194,0.027421440732111,0.0764005044054503,0.358917011680813,0.719657172938879,0.801201647890406
"ENSG00000197599",2.39181068665299,0.417076702442903,1.1633496299863,0.358513633126624,0.719958967269713,0.801477094918123
"ENSG00000153531",8.72817088745071,-0.217665661899873,0.608123035956232,-0.357930301978462,0.720395473294735,0.801902453581405
"ENSG00000173567",2.80711887995648,0.370876618279208,1.03655937610865,0.357795826102617,0.720496114370447,0.801953910852024
"ENSG00000234857",9.98661199337771,-0.198196791103823,0.554172273056359,-0.357644726631183,0.720609202239595,0.801971101919112
"ENSG00000196118",13.7068946911072,0.170869463391056,0.477783096605717,0.357629779297243,0.720620389653603,0.801971101919112
"ENSG00000136235",29.7239179827864,0.117204128380132,0.328233241096071,0.357075742812496,0.721035103468549,0.802372044315877
